number,name,pokedex
1,Bulbasaur,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.
2,Ivysaur,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
3,Venusaur,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
4,Charmander,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
5,Charmeleon,"When it swings its burning tail, it elevates the temperature to unbearably high levels."
6,Charizard,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
7,Squirtle,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
8,Wartortle,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."
9,Blastoise,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.
10,Caterpie,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
11,Metapod,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body."
12,Butterfree,"In battle, it flaps its wings at high speed to release highly toxic dust into the air."
13,Weedle,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
14,Kakuna,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators."
15,Beedrill,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.
16,Pidgey,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
17,Pidgeotto,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder."
18,Pidgeot,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP."
19,Rattata,"Bites anything when it attacks. Small and very quick, it is a common sight in many places."
20,Raticate,It uses its whiskers to maintain its balance. It apparently slows down if they are cut off.
21,Spearow,Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.
22,Fearow,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest."
23,Ekans,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole."
24,Arbok,It is rumored that the ferocious warning markings on its belly differ from area to area.
25,Pikachu,"When several of these POKéMON gather, their electricity could build and cause lightning storms."
26,Raichu,Its long tail serves as a ground to protect itself from its own high voltage power.
27,Sandshrew,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.
28,Sandslash,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.
29,Nidoran♀,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns."
30,Nidorina,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.
31,Nidoqueen,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.
32,Nidoran♂,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom."
33,Nidorino,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.
34,Nidoking,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones."
35,Clefairy,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.
36,Clefable,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.
37,Vulpix,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older."
38,Ninetales,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.
39,Jigglypuff,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep."
40,Wigglytuff,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size."
41,Zubat,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.
42,Golbat,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly."
43,Oddish,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds."
44,Gloom,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.
45,Vileplume,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up."
46,Paras,Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host.
47,Parasect,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.
48,Venonat,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.
49,Venomoth,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.
50,Diglett,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.
51,Dugtrio,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.
52,Meowth,Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change.
53,Persian,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness."
54,Psyduck,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers."
55,Golduck,"Often seen swimming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa."
56,Mankey,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.
57,Primeape,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.
58,Growlithe,Very protective of its territory. It will bark and bite to repel intruders from its space.
59,Arcanine,A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.
60,Poliwag,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.
61,Poliwhirl,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy."
62,Poliwrath,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.
63,Abra,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety."
64,Kadabra,It emits special alpha waves from its body that induce headaches just by being close by.
65,Alakazam,"Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5,000."
66,Machop,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.
67,Machoke,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions."
68,Machamp,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon."
69,Bellsprout,A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.
70,Weepinbell,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.
71,Victreebel,"Said to live in huge colonies deep in jungles, although no one has ever returned from there."
72,Tentacool,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.
73,Tentacruel,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey."
74,Geodude,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them."
75,Graveler,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.
76,Golem,Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.
77,Ponyta,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.
78,Rapidash,"Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it."
79,Slowpoke,Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.
80,Slowbro,The SHELLDER that is latched onto SLOWPOKE's tail is said to feed on the host's left over scraps.
81,Magnemite,Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves.
82,Magneton,Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up.
83,Farfetch'd,The sprig of green onions it holds is its weapon. It is used much like a metal sword.
84,Doduo,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.
85,Dodrio,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake."
86,Seel,The protruding horn on its head is very hard. It is used for bashing through thick ice.
87,Dewgong,Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.
88,Grimer,Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories.
89,Muk,"Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison."
90,Shellder,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.
91,Cloyster,"When attacked, it launches its horns in quick volleys. Its innards have never been seen."
92,Gastly,"Almost invisible, this gaseous POKéMON cloaks the target and puts it to sleep without notice."
93,Haunter,"Because of its ability to slip through block walls, it is said to be from another dimension."
94,Gengar,"Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright."
95,Onix,"As it grows, the stone portions of its body harden to become similar to a diamond, but colored black."
96,Drowzee,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.
97,Hypno,"When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION."
98,Krabby,"Its pincers are not only powerful weapons, they are used for balance when walking sideways."
99,Kingler,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use."
100,Voltorb,"Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people."
101,Electrode,It stores electric energy under very high pressure. It often explodes with little or no provocation.
102,Exeggcute,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms."
